,Well,Sample,SampleType,Ct,WormNumber,Line,Strain,Species,start,passage,days.on.plate,inf
421,E8,FCY18,strip,Inf,2,FCY18,JU724,latens,5/10/2022 14:00,5/20/2022 8:30,9.770833333,0
422,E9,FCY18,strip,Inf,3,FCY18,JU724,latens,5/10/2022 14:00,5/20/2022 8:30,9.770833333,0
423,E10,FCY28,strip,25.8682,3,FCY28,VX80,latens,5/10/2022 14:00,5/20/2022 8:30,9.770833333,1
424,E11,FCY28,strip,Inf,1,FCY28,VX80,latens,5/10/2022 14:00,5/20/2022 8:30,9.770833333,0
425,F3,FCY15,strip,Inf,2,FCY15,JU724,latens,5/10/2022 14:00,5/18/2022 12:45,7.947916667,0
426,F4,FCY31,strip,Inf,2,FCY31,JU1428,tropicalis,5/10/2022 14:00,5/19/2022 9:00,8.791666667,0
427,F5,FCY31,strip,Inf,3,FCY31,JU1428,tropicalis,5/10/2022 14:00,5/19/2022 9:00,8.791666667,0
428,F6,FCY26,strip,Inf,2,FCY26,JU1857,macrosperma,5/10/2022 14:00,5/19/2022 9:00,8.791666667,0
429,F7,FCY26,strip,Inf,3,FCY26,JU1857,macrosperma,5/10/2022 14:00,5/19/2022 9:00,8.791666667,0
430,G3,FCY15,strip,25.1252,2,FCY15,JU724,latens,5/10/2022 14:00,5/18/2022 12:45,7.947916667,1
431,G4,FCY31,strip,Inf,2,FCY31,JU1428,tropicalis,5/10/2022 14:00,5/19/2022 9:00,8.791666667,0
