"","Line","Strain","Species","block","trans.ability","median.ct","pre.ct","best.y","l.y","h.y","best.p","l.p","h.p","strain.overall","TCID50","conf.low","conf.high","strain.group","rel.susc","rel.susc.low","rel.susc.high","p.paper","NAME"
"95","FDI14","JU1857","macrosperma","FDI",0,34.597,31.2588067012818,0,0,0.32,0.16,0.06,0.3,"JU1857",300.5,110.5,665.7,"JU1857",0.0865994236311239,0.0318443804034582,0.191844380403458,0,"C. macrosperma
 JU1857"
"96","FDI15","SB454","sulstoni","FDI",10,27.1748,25.8905470040541,1,0.05,1,1,0.67,1,"SB454",177.5,61.1,460.1,"SB454",0.0511527377521614,0.0176080691642651,0.132593659942363,0.969296534072151,"C. sulstoni
 SB454"
"97","FDI17","SB454","sulstoni","FDI",10,27.1513,28.5509475612294,1,0.11,1,0.43,0.24,0.66,"SB454",177.5,61.1,460.1,"SB454",0.0511527377521614,0.0176080691642651,0.132593659942363,0.392885182097568,"C. sulstoni
 SB454"
"98","FDI18","SB454","sulstoni","FDI",10,25.3988,27.3841052115911,1,0.07,1,0.68,0.43,0.89,"SB454",177.5,61.1,460.1,"SB454",0.0511527377521614,0.0176080691642651,0.132593659942363,0.641673777105669,"C. sulstoni
 SB454"
"99","FDI23","JU4093","sp.65","FDI",1,32.1163,30.4774278046397,0.29,0.05,1,0.24,0.12,0.42,"JU4093",2.3,0.9,5.5,"JU4093",0.000662824207492795,0.000259365994236311,0.0015850144092219,0.0293534555658941,"C. sp. 65
 JU4093"
"100","FDI24","JU4093","sp.65","FDI",2,31.38835,29.7773223948568,1,0.12,1,0.39,0.22,0.6,"JU4093",2.3,0.9,5.5,"JU4093",0.000662824207492795,0.000259365994236311,0.0015850144092219,0.185037113394977,"C. sp. 65
 JU4093"
"101","FDI25","JU4093","sp.65","FDI",6,31.454,26.9302270617394,1,0.05,1,1,0.67,1,"JU4093",2.3,0.9,5.5,"JU4093",0.000662824207492795,0.000259365994236311,0.0015850144092219,0.683755344355391,"C. sp. 65
 JU4093"
"102","FDI26","JU4093","sp.65","FDI",3,28.1937,29.5439539249291,1,0.11,1,0.44,0.26,0.65,"JU4093",2.3,0.9,5.5,"JU4093",0.000662824207492795,0.000259365994236311,0.0015850144092219,0.21655506164573,"C. sp. 65
 JU4093"
"103","FDI27","JU1873","wallacei","FDI",0,32.7459,33.3258334106041,0,0,1,0.03,0.01,0.12,"JU1873",17.7,6.1,45.9,"JU1873",0.00510086455331412,0.00175792507204611,0.0132276657060519,0,"C. wallacei
 JU1873"
"104","FDI28","JU1873","wallacei","FDI",1,34.3222,33.3258334106041,0,0,1,0.03,0.01,0.12,"JU1873",17.7,6.1,45.9,"JU1873",0.00510086455331412,0.00175792507204611,0.0132276657060519,0,"C. wallacei
 JU1873"
"105","FDI29","JU1873","wallacei","FDI",1,34.26065,32.9057701647343,0,0,0.43,0.12,0.04,0.26,"JU1873",17.7,6.1,45.9,"JU1873",0.00510086455331412,0.00175792507204611,0.0132276657060519,0,"C. wallacei
 JU1873"
