"","Sample","Passage","Ct","Line","Strain","Species","start","passage","days.on.plate"
"290","FDI12.8",NA,NA,"FDI12","JU1857","macrosperma","1/0/1900 0:00","",0
"291","FDI14.8",NA,NA,"FDI14","JU1857","macrosperma","1/0/1900 0:00","",0
"292","FDI19.8",NA,NA,"FDI19","JU724","latens","1/0/1900 0:00","",0
"293","FDI20.8",NA,NA,"FDI20","JU724","latens","1/0/1900 0:00","",0
"294","FDI21.8",NA,NA,"FDI21","JU724","latens","1/0/1900 0:00","",0
"295","FDI22.8",NA,NA,"FDI22","JU724","latens","1/0/1900 0:00","",0
"296","FDI23.8",NA,NA,"FDI23","JU4093","sp.65","1/0/1900 0:00","",0
"297","FDI24.8",NA,NA,"FDI24","JU4093","sp.65","1/0/1900 0:00","",0
"298","FDI26.8",NA,NA,"FDI26","JU4093","sp.65","1/0/1900 0:00","",0
"299","FDI27.8",NA,NA,"FDI27","JU1873","wallacei","1/0/1900 0:00","",0
"300","FDI28.8",NA,NA,"FDI28","JU1873","wallacei","1/0/1900 0:00","",0
"301","FDI29.8",NA,NA,"FDI29","JU1873","wallacei","1/0/1900 0:00","",0
"302","FDI30.8",NA,NA,"FDI30","JU1873","wallacei","1/0/1900 0:00","",0
"303","FDI31.8",NA,NA,"FDI31","VX80","latens","1/0/1900 0:00","",0
"304","FDI32.8",NA,NA,"FDI32","VX80","latens","1/0/1900 0:00","",0
"305","FDI33.8",NA,NA,"FDI33","VX80","latens","1/0/1900 0:00","",0
"306","FDI34.8",NA,NA,"FDI34","VX80","latens","1/0/1900 0:00","",0
"307","FDI2.9",NA,NA,"FDI2","JU1580","elegans","1/0/1900 0:00","",0
"308","FDI3.9",NA,NA,"FDI3","ZF1092","sp.25","1/0/1900 0:00","",0
"309","FDI4.9",NA,NA,"FDI4","ZF1092","sp.25","1/0/1900 0:00","",0
"310","FDI5.9",NA,NA,"FDI5","ZF1092","sp.25","1/0/1900 0:00","",0
