"","Well","Sample","SampleType","Ct","WormNumber","Line","Strain","Species","start","passage","days.on.plate"
"233","G6","FCZ4","strip",Inf,2,"FCZ4","JU1857","macrosperma","6/15/2022 13:45","6/21/2022 11:45",5.916666667
"234","G7","FCZ4","strip",Inf,3,"FCZ4","JU1857","macrosperma","6/15/2022 13:45","6/21/2022 11:45",5.916666667
"235","G8","FCZ5","strip",Inf,2,"FCZ5","JU1857","macrosperma","6/15/2022 13:45","6/21/2022 11:45",5.916666667
"236","G9","FCZ5","strip",35.425,3,"FCZ5","JU1857","macrosperma","6/15/2022 13:45","6/21/2022 11:45",5.916666667
"237","G10","FCZ15","strip",Inf,2,"FCZ15","JU1428","tropicalis","6/15/2022 13:45","6/21/2022 11:45",5.916666667
"238","G11","FCZ15","strip",20.9475,3,"FCZ15","JU1428","tropicalis","6/15/2022 13:45","6/21/2022 11:45",5.916666667
"239","G12","FCZ23","strip",Inf,2,"FCZ23","VX80","latens","6/15/2022 13:45","6/21/2022 11:45",5.916666667
"240","H4","FCZ8","strip",20.6225,3,"FCZ8","SB454","sulstoni","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"241","H5","FCZ8","strip",20.3442,3,"FCZ8","SB454","sulstoni","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"242","H6","FCZ4","strip",Inf,3,"FCZ4","JU1857","macrosperma","6/15/2022 13:45","6/21/2022 11:45",5.916666667
"243","H7","FCZ4","strip",29.6096,3,"FCZ4","JU1857","macrosperma","6/15/2022 13:45","6/21/2022 11:45",5.916666667
"244","H8","FCZ5","strip",37.5497,3,"FCZ5","JU1857","macrosperma","6/15/2022 13:45","6/21/2022 11:45",5.916666667
"245","H9","FCZ5","strip",37.8606,3,"FCZ5","JU1857","macrosperma","6/15/2022 13:45","6/21/2022 11:45",5.916666667
"246","H10","FCZ15","strip",35.1195,3,"FCZ15","JU1428","tropicalis","6/15/2022 13:45","6/21/2022 11:45",5.916666667
"247","H11","FCZ15","strip",Inf,3,"FCZ15","JU1428","tropicalis","6/15/2022 13:45","6/21/2022 11:45",5.916666667
"248","H12","FCZ23","strip",28.5095,3,"FCZ23","VX80","latens","6/15/2022 13:45","6/21/2022 11:45",5.916666667
"249","A1","FCZ23","strip",35.2272,3,"FCZ23","VX80","latens","6/15/2022 13:45","6/21/2022 11:45",5.916666667
"250","A2","FCZ26","strip",Inf,0,"FCZ26","VX80","latens","6/15/2022 13:45","6/22/2022 7:00",6.71875
"251","A3","FCZ26","strip",Inf,3,"FCZ26","VX80","latens","6/15/2022 13:45","6/22/2022 7:00",6.71875
"252","A4","FCZ17","strip",Inf,0,"FCZ17","JU1428","tropicalis","6/15/2022 13:45","6/22/2022 7:00",6.71875
"253","A5","FCZ16","strip",Inf,0,"FCZ16","JU1428","tropicalis","6/15/2022 13:45","6/22/2022 7:00",6.71875
"254","A6","FCZ16","strip",24.5685,3,"FCZ16","JU1428","tropicalis","6/15/2022 13:45","6/22/2022 7:00",6.71875
"255","A7","FCZ12","strip",Inf,0,"FCZ12","JU4093","sp.65","6/15/2022 13:45","6/22/2022 7:00",6.71875
"256","A8","FCZ21","strip",Inf,0,"FCZ21","ZF1092","sp.25","6/15/2022 13:45","6/23/2022 8:10",7.767361111
